"ID";"Date";"Price";"Amount"
4725;2013-08-06;920;1
4730;2013-08-06;920;1
16327;2013-08-06;1120;1
5118;2013-08-06;720;1
4505;2013-08-06;720;1
8256;2013-08-06;760;1
8256;2013-08-06;700;1
8051;2013-08-06;760;1
5305;2013-08-06;420;1
5305;2013-08-06;620;1
16331;2013-08-06;620;1
4953;2013-08-06;640;1
4953;2013-08-06;620;1
11418;2013-08-06;920;1
9777;2013-08-06;760;1
5608;2013-08-06;800;1
7399;2013-08-06;700;1
7400;2013-08-06;700;1
15118;2013-08-06;900;1
5259;2013-08-07;760;1
5022;2013-08-07;560;1
5023;2013-08-07;560;1
4781;2013-08-07;480;1
4633;2013-08-07;480;1
11600;2013-08-07;1680;1
13221;2013-08-07;800;1
13222;2013-08-07;800;1
13223;2013-08-07;980;1
11414;2013-08-07;920;1
11413;2013-08-07;920;1
11417;2013-08-07;760;1
4879;2013-08-07;760;1
4878;2013-08-07;760;1
5603;2013-08-07;760;1
5232;2013-08-07;760;1
13217;2013-08-07;940;1
13216;2013-08-07;1140;1
9496;2013-08-07;940;1
9574;2013-08-07;800;1
9573;2013-08-07;800;1
9571;2013-08-07;800;1
9572;2013-08-07;800;1
4515;2013-08-07;480;1
4514;2013-08-07;480;1
13193;2013-08-07;720;1
13193;2013-08-07;400;1
16333;2013-08-07;400;1
8389;2013-08-07;700;1
13161;2013-08-07;700;1
13162;2013-08-07;700;1
13160;2013-08-07;700;1
5043;2013-08-07;640;1
4679;2013-08-07;640;1
4679;2013-08-07;420;1
7049;2013-08-07;640;1
7049;2013-08-07;320;1
7050;2013-08-07;320;1
7050;2013-08-07;640;1
8212;2013-08-07;800;1
4819;2013-08-07;760;1
4819;2013-08-07;480;1
8248;2013-08-07;420;1
4527;2013-08-07;700;1
4527;2013-08-07;720;1
4526;2013-08-07;700;1
4526;2013-08-07;720;1
4655;2013-08-07;640;1
4655;2013-08-07;420;1
8206;2013-08-07;720;1
5176;2013-08-07;420;1
5175;2013-08-07;420;1
5223;2013-08-07;420;1
7005;2013-08-07;920;1
7006;2013-08-07;760;1
16340;2013-08-07;480;1
16340;2013-08-07;700;1
16341;2013-08-07;480;1
16341;2013-08-07;700;1
4582;2013-08-07;480;1
4582;2013-08-07;700;1
10213;2013-08-07;620;1
4629;2013-08-07;480;1
5003;2013-08-07;480;1
4816;2013-08-07;480;1
14553;2013-08-07;560;1
14525;2013-08-07;480;1
5755;2013-08-07;480;1
5756;2013-08-07;480;1
5242;2013-08-08;480;1
5242;2013-08-08;800;1
7220;2013-08-08;420;1
7220;2013-08-08;320;1
8393;2013-08-08;640;1
11439;2013-08-08;640;1
11408;2013-08-08;760;1
5773;2013-08-08;760;1
5773;2013-08-08;480;1
10261;2013-08-08;960;1
8417;2013-08-08;420;1
8417;2013-08-08;620;1
16350;2013-08-08;800;1
16351;2013-08-08;800;1
4506;2013-08-08;720;1
7041;2013-08-08;720;1
7196;2013-08-08;560;1
7196;2013-08-08;880;1
13484;2013-08-08;760;1
13484;2013-08-08;480;1
8373;2013-08-08;760;1
9783;2013-08-08;640;1
5055;2013-08-08;400;1
5054;2013-08-08;400;1
16352;2013-08-08;860;1
16353;2013-08-08;720;1
4607;2013-08-08;760;1
5141;2013-08-08;640;1
5141;2013-08-08;620;1
9632;2013-08-08;640;1
9632;2013-08-08;620;1
16354;2013-08-08;400;1
16357;2013-08-10;860;1
4562;2013-08-14;640;1
12693;2013-08-14;1960;1
16367;2013-08-14;860;1
16368;2013-08-14;780;1
16370;2013-08-15;860;1
4500;2013-08-19;320;1
16061;2013-08-19;840;1
15118;2013-08-21;860;1
16377;2013-08-22;860;1
16382;2013-08-25;280;1
16079;2013-08-25;860;1
16384;2013-08-25;840;1
16402;2013-08-27;840;1
13223;2013-08-27;980;1
5655;2013-08-27;480;1
12913;2013-08-27;420;1
12405;2013-08-30;630;1
12405;2013-08-30;210;1
16468;2013-09-02;840;1
16470;2013-09-03;840;1
4616;2013-09-03;1520;1
4616;2013-09-03;480;1
4616;2013-09-03;800;1
4615;2013-09-03;480;1
5197;2013-09-03;480;1
5196;2013-09-03;480;1
11304;2013-09-03;480;1
4917;2013-09-03;420;1
4916;2013-09-03;420;1
7277;2013-09-03;480;1
7276;2013-09-03;480;1
11567;2013-09-03;480;1
13432;2013-09-03;480;1
13431;2013-09-03;480;1
16474;2013-09-03;200;1
16475;2013-09-03;200;1
16476;2013-09-03;1760;1
9787;2013-09-03;560;1
9787;2013-09-03;800;1
9788;2013-09-03;560;1
5674;2013-09-03;800;1
5675;2013-09-03;800;1
16480;2013-09-03;760;1
16480;2013-09-03;700;1
16481;2013-09-03;920;1
16481;2013-09-03;880;1
8443;2013-09-03;480;1
16487;2013-09-03;980;1
16487;2013-09-03;920;1
16488;2013-09-03;920;1
16488;2013-09-03;980;1
16483;2013-09-03;1120;1
16495;2013-09-03;1120;1
13434;2013-09-03;800;1
8444;2013-09-03;1040;1
8395;2013-09-03;800;1
8396;2013-09-03;800;1
16497;2013-09-03;560;1
16498;2013-09-03;560;1
16500;2013-09-03;640;1
16501;2013-09-03;640;1
16505;2013-09-03;840;1
13126;2013-09-04;880;1
13127;2013-09-04;700;1
16507;2013-09-04;760;1
16508;2013-09-04;640;1
16509;2013-09-04;600;1
4697;2013-09-04;700;1
8182;2013-09-04;700;1
5764;2013-09-04;600;1
4665;2013-09-04;640;1
16520;2013-09-04;760;1
7195;2013-09-04;420;1
13398;2013-09-04;420;1
16527;2013-09-04;920;1
16529;2013-09-04;920;1
